ontology1,ontology2,count
DOID,DIDEO,1
DOID,DTO,1
DOID,FMA,0
DOID,GO,0
DOID,HOOM,0
DOID,HP,0
DOID,HRDO,0
DOID,IAO,0
DOID,ICD10CM,0
DOID,IDO,0
DOID,MEDDRA,0
DOID,MESH,0
DOID,MP,0
DOID,OBI,0
DOID,OBOREL,0
DOID,OMIT,1
DOID,ORDO,0
DOID,PATO,0
DOID,PR,1
DOID,PW,0
DOID,PXO,0
DOID,RXNORM,0
DOID,SNOMEDCT,0
DOID,UBERON,0
DOID,UO,0
DOID,VO,1
DTO,ATC,0
DTO,BAO,0
DTO,BFO,0
DTO,BP,0
DTO,ChEBI,0
DTO,CL,0
DTO,CLO,0
DTO,DIDEO,0
DTO,DOID,0
DTO,FMA,0
DTO,GO,0
DTO,HOOM,0
DTO,HP,0
DTO,HRDO,0
DTO,IAO,0
DTO,ICD10CM,0
DTO,IDO,0
DTO,MEDDRA,0
DTO,MESH,0
DTO,MP,0
DTO,OBI,0
DTO,OBOREL,0
DTO,OMIT,0
DTO,ORDO,0
DTO,PATO,0
DTO,PR,0
DTO,PW,0
DTO,PXO,0
DTO,RXNORM,0
DTO,SNOMEDCT,0
DTO,UBERON,0
DTO,UO,0
DTO,VO,0
FMA,ATC,0
FMA,BAO,1
FMA,BFO,0
FMA,BP,0
FMA,ChEBI,0
FMA,CL,1
FMA,CLO,1
FMA,DIDEO,1
FMA,DOID,0
FMA,DTO,1
FMA,GO,0
FMA,HOOM,0
FMA,HP,0
FMA,HRDO,0
FMA,IAO,0
FMA,ICD10CM,0
FMA,IDO,0
FMA,MEDDRA,0
FMA,MESH,0
FMA,MP,1
FMA,OBI,0
FMA,OBOREL,0
FMA,OMIT,1
FMA,ORDO,0
FMA,PATO,0
FMA,PR,0
FMA,PW,0
FMA,PXO,0
FMA,RXNORM,0
FMA,SNOMEDCT,0
FMA,UBERON,1
FMA,UO,0
FMA,VO,1
GO,ATC,0
GO,BAO,1
GO,BFO,0
GO,BP,0
GO,ChEBI,0
GO,CL,1
GO,CLO,1
GO,DIDEO,1
GO,DOID,0
GO,DTO,1
GO,FMA,0
GO,HOOM,0
GO,HP,0
GO,HRDO,0
GO,IAO,0
GO,ICD10CM,0
GO,IDO,1
GO,MEDDRA,0
GO,MESH,0
GO,MP,1
GO,OBI,1
GO,OBOREL,0
GO,OMIT,1
GO,ORDO,0
GO,PATO,0
GO,PR,1
GO,PW,0
GO,PXO,1
GO,RXNORM,0
GO,SNOMEDCT,0
GO,UBERON,1
GO,UO,0
GO,VO,1
HOOM,ATC,0
HOOM,BAO,0
HOOM,BFO,0
HOOM,BP,0
HOOM,ChEBI,0
HOOM,CL,0
HOOM,CLO,0
HOOM,DIDEO,0
HOOM,DOID,0
HOOM,DTO,0
HOOM,FMA,0
HOOM,GO,0
HOOM,HP,0
HOOM,HRDO,0
HOOM,IAO,0
HOOM,ICD10CM,0
HOOM,IDO,0
HOOM,MEDDRA,0
HOOM,MESH,0
HOOM,MP,0
HOOM,OBI,0
HOOM,OBOREL,0
HOOM,OMIT,0
HOOM,ORDO,0
HOOM,PATO,0
HOOM,PR,0
HOOM,PW,0
HOOM,PXO,0
HOOM,RXNORM,0
HOOM,SNOMEDCT,0
HOOM,UBERON,0
HOOM,UO,0
HOOM,VO,0
HP,ATC,0
HP,BAO,0
HP,BFO,0
HP,BP,0
HP,ChEBI,0
HP,CL,0
HP,CLO,1
HP,DIDEO,0
HP,DOID,1
HP,DTO,0
HP,FMA,0
HP,GO,0
HP,HOOM,1
HP,HRDO,0
HP,IAO,0
HP,ICD10CM,0
HP,IDO,0
HP,MEDDRA,0
HP,MESH,0
HP,MP,0
HP,OBI,1
HP,OBOREL,0
HP,OMIT,0
HP,ORDO,0
HP,PATO,0
HP,PR,0
HP,PW,0
HP,PXO,0
HP,RXNORM,0
HP,SNOMEDCT,0
HP,UBERON,1
HP,UO,0
HP,VO,0
HRDO,ATC,0
HRDO,BAO,0
HRDO,BFO,0
HRDO,BP,0
HRDO,ChEBI,0
HRDO,CL,0
HRDO,CLO,0
HRDO,DIDEO,0
HRDO,DOID,0
HRDO,DTO,0
HRDO,FMA,0
HRDO,GO,0
HRDO,HOOM,0
HRDO,HP,0
HRDO,IAO,0
HRDO,ICD10CM,0
HRDO,IDO,0
HRDO,MEDDRA,0
HRDO,MESH,0
HRDO,MP,0
HRDO,OBI,0
HRDO,OBOREL,0
HRDO,OMIT,0
HRDO,ORDO,0
HRDO,PATO,0
HRDO,PR,0
HRDO,PW,0
HRDO,PXO,0
HRDO,RXNORM,0
HRDO,SNOMEDCT,0
HRDO,UBERON,0
HRDO,UO,0
HRDO,VO,0
IAO,ATC,0
IAO,BAO,1
IAO,BFO,0
IAO,BP,0
IAO,ChEBI,0
IAO,CL,1
IAO,CLO,1
IAO,DIDEO,1
IAO,DOID,0
IAO,DTO,1
IAO,FMA,0
IAO,GO,0
IAO,HOOM,0
IAO,HP,0
IAO,HRDO,0
IAO,ICD10CM,0
IAO,IDO,1
IAO,MEDDRA,0
IAO,MESH,0
IAO,MP,1
IAO,OBI,1
IAO,OBOREL,1
IAO,OMIT,0
IAO,ORDO,0
IAO,PATO,1
IAO,PR,0
IAO,PW,1
IAO,PXO,1
IAO,RXNORM,0
IAO,SNOMEDCT,0
IAO,UBERON,1
IAO,UO,1
IAO,VO,1
ICD10CM,ATC,0
ICD10CM,BAO,0
ICD10CM,BFO,0
ICD10CM,BP,0
ICD10CM,ChEBI,0
ICD10CM,CL,0
ICD10CM,CLO,0
ICD10CM,DIDEO,0
ICD10CM,DOID,1
ICD10CM,DTO,0
ICD10CM,FMA,0
ICD10CM,GO,0
ICD10CM,HOOM,0
ICD10CM,HP,0
ICD10CM,HRDO,0
ICD10CM,IAO,0
ICD10CM,IDO,0
ICD10CM,MEDDRA,0
ICD10CM,MESH,0
ICD10CM,MP,0
ICD10CM,OBI,0
ICD10CM,OBOREL,0
ICD10CM,OMIT,0
ICD10CM,ORDO,1
ICD10CM,PATO,0
ICD10CM,PR,0
ICD10CM,PW,0
ICD10CM,PXO,0
ICD10CM,RXNORM,0
ICD10CM,SNOMEDCT,0
ICD10CM,UBERON,0
ICD10CM,UO,0
ICD10CM,VO,0
IDO,ATC,0
IDO,BAO,0
IDO,BFO,0
IDO,BP,0
IDO,ChEBI,0
IDO,CL,0
IDO,CLO,0
IDO,DIDEO,1
IDO,DOID,0
IDO,DTO,0
IDO,FMA,0
IDO,GO,0
IDO,HOOM,0
IDO,HP,0
IDO,HRDO,0
IDO,IAO,0
IDO,ICD10CM,0
IDO,MEDDRA,0
IDO,MESH,0
IDO,MP,0
IDO,OBI,1
IDO,OBOREL,0
IDO,OMIT,0
IDO,ORDO,0
IDO,PATO,0
IDO,PR,0
IDO,PW,0
IDO,PXO,0
IDO,RXNORM,0
IDO,SNOMEDCT,0
IDO,UBERON,0
IDO,UO,0
IDO,VO,1
MEDDRA,ATC,0
MEDDRA,BAO,0
MEDDRA,BFO,0
MEDDRA,BP,0
MEDDRA,ChEBI,0
MEDDRA,CL,0
MEDDRA,CLO,0
MEDDRA,DIDEO,0
MEDDRA,DOID,1
MEDDRA,DTO,0
MEDDRA,FMA,0
MEDDRA,GO,0
MEDDRA,HOOM,0
MEDDRA,HP,0
MEDDRA,HRDO,0
MEDDRA,IAO,0
MEDDRA,ICD10CM,0
MEDDRA,IDO,0
MEDDRA,MESH,0
MEDDRA,MP,0
MEDDRA,OBI,0
MEDDRA,OBOREL,0
MEDDRA,OMIT,0
MEDDRA,ORDO,1
MEDDRA,PATO,0
MEDDRA,PR,0
MEDDRA,PW,0
MEDDRA,PXO,0
MEDDRA,RXNORM,0
MEDDRA,SNOMEDCT,0
MEDDRA,UBERON,0
MEDDRA,UO,0
MEDDRA,VO,0
MESH,ATC,0
MESH,BAO,0
MESH,BFO,0
MESH,BP,0
MESH,ChEBI,0
MESH,CL,0
MESH,CLO,0
MESH,DIDEO,0
MESH,DOID,1
MESH,DTO,0
MESH,FMA,0
MESH,GO,0
MESH,HOOM,0
MESH,HP,1
MESH,HRDO,0
MESH,IAO,0
MESH,ICD10CM,0
MESH,IDO,0
MESH,MEDDRA,0
MESH,MP,0
MESH,OBI,0
MESH,OBOREL,0
MESH,OMIT,0
MESH,ORDO,1
MESH,PATO,0
MESH,PR,0
MESH,PW,0
MESH,PXO,0
MESH,RXNORM,0
MESH,SNOMEDCT,0
MESH,UBERON,0
MESH,UO,0
MESH,VO,0
MP,ATC,0
MP,BAO,0
MP,BFO,0
MP,BP,0
MP,ChEBI,0
MP,CL,0
MP,CLO,0
MP,DIDEO,0
MP,DOID,0
MP,DTO,0
MP,FMA,0
MP,GO,0
MP,HOOM,0
MP,HP,0
MP,HRDO,0
MP,IAO,0
MP,ICD10CM,0
MP,IDO,0
MP,MEDDRA,0
MP,MESH,0
MP,OBI,0
MP,OBOREL,0
MP,OMIT,0
MP,ORDO,0
MP,PATO,0
MP,PR,0
MP,PW,0
MP,PXO,0
MP,RXNORM,0
MP,SNOMEDCT,0
MP,UBERON,1
MP,UO,0
MP,VO,0
OBI,ATC,0
OBI,BAO,1
OBI,BFO,0
OBI,BP,0
OBI,ChEBI,0
OBI,CL,1
OBI,CLO,1
OBI,DIDEO,1
OBI,DOID,0
OBI,DTO,0
OBI,FMA,0
OBI,GO,0
OBI,HOOM,0
OBI,HP,0
OBI,HRDO,0
OBI,IAO,1
OBI,ICD10CM,0
OBI,IDO,1
OBI,MEDDRA,0
OBI,MESH,0
OBI,MP,0
OBI,OBOREL,0
OBI,OMIT,0
OBI,ORDO,0
OBI,PATO,0
OBI,PR,1
OBI,PW,0
OBI,PXO,1
OBI,RXNORM,0
OBI,SNOMEDCT,0
OBI,UBERON,0
OBI,UO,0
OBI,VO,1
OBOREL,ATC,0
OBOREL,BAO,1
OBOREL,BFO,0
OBOREL,BP,0
OBOREL,ChEBI,0
OBOREL,CL,1
OBOREL,CLO,1
OBOREL,DIDEO,1
OBOREL,DOID,0
OBOREL,DTO,1
OBOREL,FMA,1
OBOREL,GO,1
OBOREL,HOOM,1
OBOREL,HP,0
OBOREL,HRDO,0
OBOREL,IAO,1
OBOREL,ICD10CM,0
OBOREL,IDO,1
OBOREL,MEDDRA,0
OBOREL,MESH,0
OBOREL,MP,1
OBOREL,OBI,1
OBOREL,OMIT,0
OBOREL,ORDO,0
OBOREL,PATO,1
OBOREL,PR,1
OBOREL,PW,0
OBOREL,PXO,1
OBOREL,RXNORM,0
OBOREL,SNOMEDCT,0
OBOREL,UBERON,1
OBOREL,UO,0
OBOREL,VO,1
OMIT,ATC,0
OMIT,BAO,0
OMIT,BFO,0
OMIT,BP,0
OMIT,ChEBI,0
OMIT,CL,0
OMIT,CLO,0
OMIT,DIDEO,0
OMIT,DOID,0
OMIT,DTO,0
OMIT,FMA,0
OMIT,GO,0
OMIT,HOOM,0
OMIT,HP,0
OMIT,HRDO,0
OMIT,IAO,0
OMIT,ICD10CM,0
OMIT,IDO,0
OMIT,MEDDRA,0
OMIT,MESH,0
OMIT,MP,0
OMIT,OBI,0
OMIT,OBOREL,0
OMIT,ORDO,0
OMIT,PATO,0
OMIT,PR,0
OMIT,PW,0
OMIT,PXO,0
OMIT,RXNORM,0
OMIT,SNOMEDCT,0
OMIT,UBERON,0
OMIT,UO,0
OMIT,VO,0
ORDO,ATC,0
ORDO,BAO,0
ORDO,BFO,0
ORDO,BP,0
ORDO,ChEBI,0
ORDO,CL,0
ORDO,CLO,0
ORDO,DIDEO,0
ORDO,DOID,0
ORDO,DTO,0
ORDO,FMA,0
ORDO,GO,0
ORDO,HOOM,0
ORDO,HP,0
ORDO,HRDO,0
ORDO,IAO,0
ORDO,ICD10CM,0
ORDO,IDO,0
ORDO,MEDDRA,0
ORDO,MESH,0
ORDO,MP,0
ORDO,OBI,0
ORDO,OBOREL,0
ORDO,OMIT,0
ORDO,PATO,0
ORDO,PR,0
ORDO,PW,0
ORDO,PXO,0
ORDO,RXNORM,0
ORDO,SNOMEDCT,0
ORDO,UBERON,0
ORDO,UO,0
ORDO,VO,0
PATO,ATC,0
PATO,BAO,1
PATO,BFO,0
PATO,BP,0
PATO,ChEBI,0
PATO,CL,1
PATO,CLO,1
PATO,DIDEO,0
PATO,DOID,0
PATO,DTO,0
PATO,FMA,0
PATO,GO,0
PATO,HOOM,0
PATO,HP,0
PATO,HRDO,0
PATO,IAO,0
PATO,ICD10CM,1
PATO,IDO,0
PATO,MEDDRA,0
PATO,MESH,0
PATO,MP,1
PATO,OBI,1
PATO,OBOREL,0
PATO,OMIT,0
PATO,ORDO,0
PATO,PR,0
PATO,PW,0
PATO,PXO,0
PATO,RXNORM,0
PATO,SNOMEDCT,0
PATO,UBERON,1
PATO,UO,1
PATO,VO,1
PR,ATC,0
PR,BAO,0
PR,BFO,0
PR,BP,0
PR,ChEBI,0
PR,CL,1
PR,CLO,1
PR,DIDEO,1
PR,DOID,0
PR,DTO,1
PR,FMA,0
PR,GO,0
PR,HOOM,0
PR,HP,0
PR,HRDO,
PR,IAO,0
PR,ICD10CM,0
PR,IDO,0
PR,MEDDRA,0
PR,MESH,0
PR,MP,1
PR,OBI,1
PR,OBOREL,0
PR,OMIT,1
PR,ORDO,0
PR,PATO,0
PR,PW,0
PR,PXO,1
PR,RXNORM,0
PR,SNOMEDCT,0
PR,UBERON,1
PR,UO,0
PR,VO,1
PW,ATC,0
PW,BAO,0
PW,BFO,0
PW,BP,0
PW,ChEBI,0
PW,CL,0
PW,CLO,0
PW,DIDEO,0
PW,DOID,0
PW,DTO,0
PW,FMA,0
PW,GO,0
PW,HOOM,0
PW,HP,0
PW,HRDO,0
PW,IAO,0
PW,ICD10CM,0
PW,IDO,0
PW,MEDDRA,0
PW,MESH,0
PW,MP,0
PW,OBI,0
PW,OBOREL,0
PW,OMIT,0
PW,ORDO,0
PW,PATO,0
PW,PR,0
PW,PXO,0
PW,RXNORM,0
PW,SNOMEDCT,0
PW,UBERON,0
PW,UO,0
PW,VO,0
PXO,ATC,0
PXO,BAO,0
PXO,BFO,0
PXO,BP,0
PXO,ChEBI,0
PXO,CL,0
PXO,CLO,0
PXO,DIDEO,0
PXO,DOID,0
PXO,DTO,0
PXO,FMA,0
PXO,GO,0
PXO,HOOM,0
PXO,HP,0
PXO,HRDO,0
PXO,IAO,0
PXO,ICD10CM,0
PXO,IDO,0
PXO,MEDDRA,0
PXO,MESH,0
PXO,MP,0
PXO,OBI,0
PXO,OBOREL,0
PXO,OMIT,0
PXO,ORDO,0
